"id","order_fabrication","number of pallete","interior_diamter","exterior_diamter","length","geometry_validation","flat_crush","humidity","valeurstemp","import_date","trial179"
2094,"38290",NULL,"0","0","0",NULL,"0.685","7.1",0,NULL,"T"
2095,"38290",NULL,"0","0","0",NULL,"0.684",NULL,0,NULL,"T"
2096,"38234",NULL,"0","0","0",NULL,"2.515","7.88",0,NULL,"T"
2097,"38234",NULL,"0","0","0",NULL,"2.581","0",0,NULL,"T"
2098,"38235",NULL,"0","0","0",NULL,"3.125","7.49",0,NULL,"T"
2099,"38235",NULL,"0","0","0",NULL,"3.156","0",0,NULL,"T"
2195,"38290","13",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2196,"38290","13",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2197,"38290","13","152.7","168.02","3005","1","0","0",0,NULL,"T"
2198,"38290","15",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2199,"38290","15",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2200,"38290","15","152.7","167.83","3003","1","0","0",0,NULL,"T"
2201,"38290","14",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2202,"38290","14",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2203,"38290","14","152.7","167.93","3004","1","0","0",0,NULL,"T"
2204,"38290","8",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2205,"38290","8",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2206,"38290","8","152.7","167.73","3001","1","0","0",0,NULL,"T"
2207,"38290","9",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2208,"38290","9",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2209,"38290","9","152.7","167.91","3005","1","0","0",0,NULL,"T"
2210,"38290","12",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2211,"38290","12",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2212,"38290","12","152.7","168.05","3004","1","0","0",0,NULL,"T"
2213,"38290","1",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2214,"38290","1",NULL,NULL,"3008",NULL,"0","0",0,NULL,"T"
2215,"38290","1","152.7","168.27","3006","1","0","0",0,NULL,"T"
2216,"38290","10",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2217,"38290","10",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2218,"38290","10","152.7","168.19","3004","1","0","0",0,NULL,"T"
2219,"38290","2",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2220,"38290","2",NULL,NULL,"3008",NULL,"0","0",0,NULL,"T"
2221,"38290","2","152.7","167.75","3005","1","0","0",0,NULL,"T"
2222,"38290","3",NULL,NULL,"3006",NULL,"0","0",0,NULL,"T"
2223,"38290","3",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2224,"38290","3","152.7","168.2","3003","1","0","0",0,NULL,"T"
2225,"38290","11",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2226,"38290","11",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2227,"38290","11","152.7","167.95","3005","1","0","0",0,NULL,"T"
2228,"38290","4",NULL,NULL,"3003",NULL,"0","0",0,NULL,"T"
2229,"38290","4",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2230,"38290","4","152.7","167.82","3003","1","0","0",0,NULL,"T"
2231,"38290","5",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2232,"38290","5",NULL,NULL,"3007",NULL,"0","0",0,NULL,"T"
2233,"38290","5","152.7","168.12","3005","1","0","0",0,NULL,"T"
2234,"38290","6",NULL,NULL,"3003",NULL,"0","0",0,NULL,"T"
2235,"38290","6",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2236,"38290","6","152.7","167.74","3003","1","0","0",0,NULL,"T"
2237,"38290","7",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2238,"38290","7",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2239,"38290","7","152.7","168.06","3004","1","0","0",0,NULL,"T"
2240,"38290","16",NULL,NULL,"3004",NULL,"0","0",0,NULL,"T"
2241,"38290","16",NULL,NULL,"3005",NULL,"0","0",0,NULL,"T"
2242,"38290","16","152.7","167.92","3003","1","0","0",0,NULL,"T"
2244,"38273",NULL,"0","0","0",NULL,"0.539","7.22",0,NULL,"T"
2245,"37912",NULL,"0","0","0",NULL,"0.8","7.88",0,NULL,"T"
2246,"37912",NULL,"0","0","0",NULL,"0.796","0",0,NULL,"T"
2247,"38272",NULL,"0","0","0",NULL,"0.513","7.14",0,NULL,"T"
2248,"38272",NULL,"0","0","0",NULL,"0.541","0",0,NULL,"T"
2249,"38271",NULL,"0","0","0",NULL,"0.488","7.15",0,NULL,"T"
2250,"38271",NULL,"0","0","0",NULL,"0.479","0",0,NULL,"T"
2251,"38212",NULL,"0","0","0",NULL,"0.697","7.35",0,NULL,"T"
2252,"38212",NULL,"0","0","0",NULL,"0.809","0",0,NULL,"T"
2253,"38167",NULL,"0","0","0",NULL,"0.458","7.8",0,NULL,"T"
2254,"38167",NULL,"0","0","0",NULL,"0.514","0",0,NULL,"T"
2255,"38166",NULL,"0","0","0",NULL,"0.534","6.98",0,NULL,"T"
2256,"38166",NULL,"0","0","0",NULL,"0.452","0",0,NULL,"T"
2257,"38234","6",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2258,"38234","6",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2259,"38234","6","76.6","106.38","2601","1","0","0",0,NULL,"T"
2260,"38234","3",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2261,"38234","3",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2262,"38234","3","76.5","106.52","2603","1","0","0",0,NULL,"T"
2263,"38234","5",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2264,"38234","5",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2265,"38234","5","76.6","106.24","2601","1","0","0",0,NULL,"T"
2266,"38234","1",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2267,"38234","1",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2268,"38234","1","76.5","106.35","2603","1","0","0",0,NULL,"T"
2269,"38234","4",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2270,"38234","4",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2271,"38234","4","76.5","106.63","2602","1","0","0",0,NULL,"T"
2272,"38234","2",NULL,NULL,"2602",NULL,"0","0",0,NULL,"T"
2273,"38234","2",NULL,NULL,"2603",NULL,"0","0",0,NULL,"T"
2274,"38234","2","76.5","106.44","2602","1","0","0",0,NULL,"T"
2275,"38235","1",NULL,NULL,"3453",NULL,"0","0",0,NULL,"T"
2276,"38235","1",NULL,NULL,"3454",NULL,"0","0",0,NULL,"T"
2277,"38235","1","70.6","106.46","3452","1","0","0",0,NULL,"T"
2278,"38235","2",NULL,NULL,"3454",NULL,"0","0",0,NULL,"T"
2279,"38235","2",NULL,NULL,"3455",NULL,"0","0",0,NULL,"T"
2280,"38235","2","70.6","106.26","3455","1","0","0",0,NULL,"T"
2281,"38271","1",NULL,NULL,"2109",NULL,"0","0",0,NULL,"T"
2282,"38271","1",NULL,NULL,"2110",NULL,"0","0",0,NULL,"T"
2283,"38271","1","128.3","140.51","2106","1","0","0",0,NULL,"T"
2284,"38271","2",NULL,NULL,"2106",NULL,"0","0",0,NULL,"T"
2285,"38271","2",NULL,NULL,"2110",NULL,"0","0",0,NULL,"T"
2286,"38271","2","128.3","140.45","2108","1","0","0",0,NULL,"T"
2287,"38167",NULL,"128.3","140.22","5224","1","0","0",0,NULL,"T"
2288,"38167",NULL,NULL,NULL,"5224",NULL,"0","0",0,NULL,"T"
2289,"38167",NULL,"128.3","139.87","5223","1","0","0",0,NULL,"T"
2290,"38167",NULL,NULL,NULL,"5223",NULL,"0","0",0,NULL,"T"
2291,"38167",NULL,"128.2","140.06","5223","1","0","0",0,NULL,"T"
2292,"38167",NULL,NULL,NULL,"5226",NULL,"0","0",0,NULL,"T"
2293,"38273",NULL,"128.3","140.46","5227","1","0","0",0,NULL,"T"
2294,"38273",NULL,NULL,NULL,"5222",NULL,"0","0",0,NULL,"T"
2295,"38273",NULL,"128.2","140.37","5226","1","0","0",0,NULL,"T"
2296,"38273",NULL,NULL,NULL,"5224",NULL,"0","0",0,NULL,"T"
2297,"38273",NULL,"128.3","140.16","5221","1","0","0",0,NULL,"T"
2298,"37912",NULL,NULL,NULL,"5218",NULL,"0","0",0,NULL,"T"
2299,"37912",NULL,"128.3","144.14","5215","1","0","0",0,NULL,"T"
2300,"38212",NULL,NULL,NULL,"5208",NULL,"0","0",0,NULL,"T"
2301,"38212",NULL,"128.3","144.64","5213","1","0","0",0,NULL,"T"
2302,"38212",NULL,NULL,NULL,"5213",NULL,"0","0",0,NULL,"T"
2303,"38212",NULL,"128.3","144.18","5214","1","0","0",0,NULL,"T"
2304,"38272",NULL,"128.4","140.26","4522","1","0","0",0,NULL,"T"
2305,"38272",NULL,NULL,NULL,"4521",NULL,"0","0",0,NULL,"T"
2306,"38272",NULL,"128.4","140.56","4521","1","0","0",0,NULL,"T"
2307,"38166",NULL,NULL,NULL,"4524",NULL,"0","0",0,NULL,"T"
2308,"38166",NULL,"128.4","140.09","4522","1","0","0",0,NULL,"T"
2310,"38340",NULL,"0","0","0",NULL,"1.338","8.45",0,NULL,"T"
2311,"38340",NULL,"0","0","0",NULL,"1.382","0",0,NULL,"T"
2312,"38170",NULL,"0","0","0",NULL,"3.702","6.97",0,NULL,"T"
2313,"38170",NULL,"0","0","0",NULL,"3.96","0",0,NULL,"T"
2314,"38170",NULL,"0","0","0",NULL,"3.815","0",0,NULL,"T"
2315,"38170",NULL,"0","0","0",NULL,"3.719","0",0,NULL,"T"
2316,"38170",NULL,"0","0","0",NULL,"3.839","0",0,NULL,"T"
2317,"38170",NULL,"0","0","0",NULL,"3.679","0",0,NULL,"T"
2318,"38349",NULL,"0","0","0",NULL,"0.269","7.91",0,NULL,"T"
2319,"38349",NULL,"0","0","0",NULL,"0.282","0",0,NULL,"T"
2320,"38170","1",NULL,NULL,"8333",NULL,"0","0",0,NULL,"T"
2321,"38170","1",NULL,NULL,"8338",NULL,"0","0",0,NULL,"T"
2322,"38170","1","76.6","106.73","8332","1","0","0",0,NULL,"T"
2323,"38170","2",NULL,NULL,"8333",NULL,"0","0",0,NULL,"T"
2324,"38170","2",NULL,NULL,"8338",NULL,"0","0",0,NULL,"T"
2325,"38170","2","76.6","106.7","8328","1","0","0",0,NULL,"T"
2326,"38170","3",NULL,NULL,"8332",NULL,"0","0",0,NULL,"T"
2327,"38170","3",NULL,NULL,"8336",NULL,"0","0",0,NULL,"T"
2328,"38170","3","76.6","106.83","8332","1","0","0",0,NULL,"T"
2329,"38170","4",NULL,NULL,"8329",NULL,"0","0",0,NULL,"T"
2330,"38170","4",NULL,NULL,"8335",NULL,"0","0",0,NULL,"T"
2331,"38170","4","76.6","106.62","8329","1","0","0",0,NULL,"T"
2332,"38170","5",NULL,NULL,"8332",NULL,"0","0",0,NULL,"T"
2333,"38170","5",NULL,NULL,"8337",NULL,"0","0",0,NULL,"T"
2334,"38170","5","76.6","106.58","8332","1","0","0",0,NULL,"T"
2335,"38170","6",NULL,NULL,"8333",NULL,"0","0",0,NULL,"T"
2336,"38170","6",NULL,NULL,"8336",NULL,"0","0",0,NULL,"T"
2337,"38170","6","76.6","106.94","8331","1","0","0",0,NULL,"T"
2339,"37410",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"T"
2341,"38340","13","150.8","173.77","1000","1",NULL,NULL,NULL,NULL,"T"
2342,"38340","12",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2343,"38340","12",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2344,"38340","12","151","173.84","1001","1",NULL,NULL,NULL,NULL,"T"
2345,"38340","7",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2346,"38340","7",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2347,"38340","7","150.9","173.86","1000","1",NULL,NULL,NULL,NULL,"T"
2348,"38340","5",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2349,"38340","5",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2350,"38340","5","151","173.73","999","1",NULL,NULL,NULL,NULL,"T"
2351,"38340","2",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2352,"38340","2",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2353,"38340","2","150.9","173.93","1001","1",NULL,NULL,NULL,NULL,"T"
2354,"38340","14",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2355,"38340","14",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2356,"38340","14","150.9","173.73","1000","1",NULL,NULL,NULL,NULL,"T"
2357,"38340","9",NULL,NULL,"999",NULL,NULL,NULL,NULL,NULL,"T"
2358,"38340","9",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2359,"38340","9","151","174.05","999","1",NULL,NULL,NULL,NULL,"T"
2360,"38340","8",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2361,"38340","8",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2362,"38340","8","151","174.02","999","1",NULL,NULL,NULL,NULL,"T"
2363,"38340","3",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2364,"38340","3",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2365,"38340","3","150.9","173.75","1000","1",NULL,NULL,NULL,NULL,"T"
2366,"38340","1",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2367,"38340","1",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2368,"38340","1","150.9","173.86","1000","1",NULL,NULL,NULL,NULL,"T"
2369,"38340","4",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2370,"38340","4",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2371,"38340","4","150.9","173.69","1000","1",NULL,NULL,NULL,NULL,"T"
2372,"38340","6",NULL,NULL,"999",NULL,NULL,NULL,NULL,NULL,"T"
2373,"38340","6",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2374,"38340","6","150.9","174.1","1000","1",NULL,NULL,NULL,NULL,"T"
2375,"38340","10",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2376,"38340","10",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2377,"38340","10","151","173.93","1001","1",NULL,NULL,NULL,NULL,"T"
2378,"38340","11",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2379,"38340","11",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2380,"38340","11","151","173.63","999","1",NULL,NULL,NULL,NULL,"T"
2381,"38340","16",NULL,NULL,"999",NULL,NULL,NULL,NULL,NULL,"T"
2382,"38340","16",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2383,"38340","16","150.9","174.22","1000","1",NULL,NULL,NULL,NULL,"T"
2384,"38340","15",NULL,NULL,"999",NULL,NULL,NULL,NULL,NULL,"T"
2385,"38340","15",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2386,"38340","15","150.9","173.62","999","1",NULL,NULL,NULL,NULL,"T"
2387,"38340","19",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2388,"38340","19",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2389,"38340","19","150.9","173.95","1001","1",NULL,NULL,NULL,NULL,"T"
2390,"38340","21",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2391,"38340","21",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2392,"38340","21","150.9","174.12","999","1",NULL,NULL,NULL,NULL,"T"
2393,"38340","18",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2394,"38340","18",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2395,"38340","18","150.9","173.87","1000","1",NULL,NULL,NULL,NULL,"T"
2396,"38340","20",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2397,"38340","20",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2398,"38340","20","150.9","173.93","1000","1",NULL,NULL,NULL,NULL,"T"
2399,"38277","18",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2400,"38277","18",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2401,"38277","18","150.9","173.75","1000","1",NULL,NULL,NULL,NULL,"T"
2402,"38340","17",NULL,NULL,"999",NULL,NULL,NULL,NULL,NULL,"T"
2403,"38340","17",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2404,"38340","17","150.9","173.77","1000","1",NULL,NULL,NULL,NULL,"T"
2405,"38277","14",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2406,"38277","14",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2407,"38277","14","150.9","173.58","1001","1",NULL,NULL,NULL,NULL,"T"
2408,"38277","16",NULL,NULL,"1002",NULL,NULL,NULL,NULL,NULL,"T"
2409,"38277","16",NULL,NULL,"1001",NULL,NULL,NULL,NULL,NULL,"T"
2410,"38277","16","150.9","173.97","1001","1",NULL,NULL,NULL,NULL,"T"
2411,"38277","17",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2412,"38277","17",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2413,"38277","17","150.9","173.94","1001","1",NULL,NULL,NULL,NULL,"T"
2414,"38277","15",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2415,"38277","15",NULL,NULL,"1000",NULL,NULL,NULL,NULL,NULL,"T"
2416,"38277","15","150.9","174","1000","1",NULL,NULL,NULL,NULL,"T"
2417,"38349","2",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2418,"38349","2",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2419,"38349","2","76.4","84.1","1503","1",NULL,NULL,NULL,NULL,"T"
2420,"38349","3",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2421,"38349","3",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2422,"38349","3","76.3","84.25","1503","1",NULL,NULL,NULL,NULL,"T"
2423,"38349","4",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2424,"38349","4",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2425,"38349","4","76.4","84.19","1503","1",NULL,NULL,NULL,NULL,"T"
2426,"38349","5",NULL,NULL,"1502",NULL,NULL,NULL,NULL,NULL,"T"
2427,"38349","5",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2428,"38349","5","76.4","84.11","1503","1",NULL,NULL,NULL,NULL,"T"
2429,"38349","1",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2430,"38349","1",NULL,NULL,"1503",NULL,NULL,NULL,NULL,NULL,"T"
2431,"38349","1","76.4","84.15","1503","1",NULL,NULL,NULL,NULL,"T"
2433,"38277",NULL,NULL,NULL,NULL,NULL,"1.341","7.99",NULL,NULL,"T"
2434,"38277",NULL,NULL,NULL,NULL,NULL,"1.368",NULL,NULL,NULL,"T"
2435,"38356",NULL,NULL,NULL,NULL,NULL,"0.964","9.47",NULL,NULL,"T"
2436,"38356",NULL,NULL,NULL,NULL,NULL,"0.938",NULL,NULL,NULL,"T"
2437,"38355",NULL,NULL,NULL,NULL,NULL,"2.227","9.82",NULL,NULL,"T"
2438,"38355",NULL,NULL,NULL,NULL,NULL,"2.256",NULL,NULL,NULL,"T"
2439,"38354",NULL,NULL,NULL,NULL,NULL,"0.508","8.12",NULL,NULL,"T"
2440,"38354",NULL,NULL,NULL,NULL,NULL,"0.484",NULL,NULL,NULL,"T"
2441,"38155",NULL,NULL,NULL,NULL,NULL,"2.356","8.47",NULL,NULL,"T"
2442,"38155",NULL,NULL,NULL,NULL,NULL,"2.35",NULL,NULL,NULL,"T"
2443,"38328",NULL,NULL,NULL,NULL,NULL,"1.96","8.28",NULL,NULL,"T"
2444,"38328",NULL,NULL,NULL,NULL,NULL,"1.885",NULL,NULL,NULL,"T"
2445,"38011",NULL,NULL,NULL,NULL,NULL,"1.938","8.06",NULL,NULL,"T"
2446,"38350",NULL,NULL,NULL,NULL,NULL,"0.467","7.87",NULL,NULL,"T"
2447,"38350",NULL,NULL,NULL,NULL,NULL,"0.505",NULL,NULL,NULL,"T"
2448,"38274",NULL,NULL,NULL,NULL,NULL,"0.714","8.39",NULL,NULL,"T"
2449,"38274",NULL,NULL,NULL,NULL,NULL,"0.769",NULL,NULL,NULL,"T"
2450,"38238",NULL,NULL,NULL,NULL,NULL,"3.109","7.5",NULL,NULL,"T"
2451,"38238",NULL,NULL,NULL,NULL,NULL,"3.125",NULL,NULL,NULL,"T"
2452,"38238",NULL,NULL,NULL,NULL,NULL,"3.166",NULL,NULL,NULL,"T"
2453,"38245",NULL,NULL,NULL,NULL,NULL,"4.694","7.65",NULL,NULL,"T"
2454,"38245",NULL,NULL,NULL,NULL,NULL,"4.693",NULL,NULL,NULL,"T"
2455,"37410",NULL,NULL,NULL,NULL,NULL,"3.172","7.3",NULL,NULL,"T"
2456,"38222",NULL,NULL,NULL,NULL,NULL,"3.129","7.44",NULL,NULL,"T"
2457,"38222",NULL,NULL,NULL,NULL,NULL,"3.177",NULL,NULL,NULL,"T"
2458,"38222",NULL,NULL,NULL,NULL,NULL,"3.184",NULL,NULL,NULL,"T"
2459,"38222",NULL,NULL,NULL,NULL,NULL,"3.122",NULL,NULL,NULL,"T"
2460,"38222",NULL,NULL,NULL,NULL,NULL,"3.193",NULL,NULL,NULL,"T"
2461,"38222",NULL,NULL,NULL,NULL,NULL,"3.123",NULL,NULL,NULL,"T"
2462,"38222",NULL,NULL,NULL,NULL,NULL,"3.18",NULL,NULL,NULL,"T"
2463,"38222",NULL,NULL,NULL,NULL,NULL,"3.165",NULL,NULL,NULL,"T"
2622,"38213",NULL,NULL,NULL,NULL,NULL,"0.744","7.4",NULL,NULL,"T"
2623,"38213",NULL,NULL,NULL,NULL,NULL,"0.787",NULL,NULL,NULL,"T"
2782,"38011","3",NULL,NULL,"1528",NULL,NULL,NULL,NULL,NULL,"T"
2783,"38011","3",NULL,NULL,"1529",NULL,NULL,NULL,NULL,NULL,"T"
2784,"38011","3",NULL,NULL,"1529",NULL,NULL,NULL,NULL,NULL,"T"
2785,"38011","3",NULL,NULL,"1528",NULL,NULL,NULL,NULL,NULL,"T"
2786,"38011","3","76.6","94.55","1527","1",NULL,NULL,NULL,NULL,"T"
2787,"1","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"T"
2788,"38213","2","128.3","144.13","4239","1",NULL,NULL,NULL,NULL,"T"
2789,"38213","2",NULL,NULL,"4239",NULL,NULL,NULL,NULL,NULL,"T"
2790,"38213","2","128.4","144.16","4239","1",NULL,NULL,NULL,NULL,"T"
2791,"38274","2",NULL,NULL,"4248",NULL,NULL,NULL,NULL,NULL,"T"
2792,"38274","2","128.4","144.02","4248","1",NULL,NULL,NULL,NULL,"T"
2793,"38274","2",NULL,NULL,"4248",NULL,NULL,NULL,NULL,NULL,"T"
2794,"38274","2","128.4","144.31","4248","1",NULL,NULL,NULL,NULL,"T"
2795,"38274","2",NULL,NULL,"4248",NULL,NULL,NULL,NULL,NULL,"T"
2796,"38274","2","128.4","144","4248","1",NULL,NULL,NULL,NULL,"T"
2797,"38274","2",NULL,NULL,"4248",NULL,NULL,NULL,NULL,NULL,"T"
2798,"38274","2","128.3","144.29","4248","1",NULL,NULL,NULL,NULL,"T"
2799,"38272","2",NULL,NULL,"4525",NULL,NULL,NULL,NULL,NULL,"T"
2800,"38272","2","128.4","140.48","4524","1",NULL,NULL,NULL,NULL,"T"
2801,"38272","2",NULL,NULL,"4523",NULL,NULL,NULL,NULL,NULL,"T"
2802,"38272","2","128.3","140.23","4522","1",NULL,NULL,NULL,NULL,"T"
2803,"38272","2",NULL,NULL,"4523",NULL,NULL,NULL,NULL,NULL,"T"
2804,"38272","2","128.4","140.51","4523","1",NULL,NULL,NULL,NULL,"T"
2805,"38272","2",NULL,NULL,"4522",NULL,NULL,NULL,NULL,NULL,"T"
2806,"38272","2","128.4","140.04","4523","1",NULL,NULL,NULL,NULL,"T"
2807,"38350","2","128.4","140.03","4528","1",NULL,NULL,NULL,NULL,"T"
2808,"38350","2",NULL,NULL,"4528",NULL,NULL,NULL,NULL,NULL,"T"
2809,"38350","2","128.4","140.21","4528","1",NULL,NULL,NULL,NULL,"T"
2810,"38155","2",NULL,NULL,"2154",NULL,NULL,NULL,NULL,NULL,"T"
2811,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2812,"38155","2","77.3","103.5","2153","1",NULL,NULL,NULL,NULL,"T"
2813,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2814,"38155","2",NULL,NULL,"2154",NULL,NULL,NULL,NULL,NULL,"T"
2815,"38155","2","77.4","103.63","2153","1",NULL,NULL,NULL,NULL,"T"
2816,"38155","2",NULL,NULL,"2151",NULL,NULL,NULL,NULL,NULL,"T"
2817,"38155","2",NULL,NULL,"2152",NULL,NULL,NULL,NULL,NULL,"T"
2818,"38155","2","77.3","103.41","2153","1",NULL,NULL,NULL,NULL,"T"
2819,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2820,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2821,"38155","2","77.3","103.5","2152","1",NULL,NULL,NULL,NULL,"T"
2822,"38155","2",NULL,NULL,"2152",NULL,NULL,NULL,NULL,NULL,"T"
2823,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2824,"38155","2","77.3","103.25","2150","1",NULL,NULL,NULL,NULL,"T"
2825,"38155","2",NULL,NULL,"2151",NULL,NULL,NULL,NULL,NULL,"T"
2826,"38155","2",NULL,NULL,"2151",NULL,NULL,NULL,NULL,NULL,"T"
2827,"38155","2","77.3","103.14","2151","1",NULL,NULL,NULL,NULL,"T"
2828,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2829,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2830,"38155","2","77.4","103.61","2151","1",NULL,NULL,NULL,NULL,"T"
2831,"38155","2",NULL,NULL,"2152",NULL,NULL,NULL,NULL,NULL,"T"
2832,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2833,"38155","2","77.4","103.75","2151","1",NULL,NULL,NULL,NULL,"T"
2834,"38155","2",NULL,NULL,"2151",NULL,NULL,NULL,NULL,NULL,"T"
2835,"38155","2",NULL,NULL,"2153",NULL,NULL,NULL,NULL,NULL,"T"
2836,"38155","2","77.4","103.46","2150","1",NULL,NULL,NULL,NULL,"T"
2837,"38155","2",NULL,NULL,"2152",NULL,NULL,NULL,NULL,NULL,"T"
2838,"38155","2",NULL,NULL,"2152",NULL,NULL,NULL,NULL,NULL,"T"
2839,"38155","2","77.4","103.78","2151","1",NULL,NULL,NULL,NULL,"T"
